datetime,discharge,qualifiers
2021-08-29T00:00:00.000-04:00,31.4,['A']
2021-08-29T00:15:00.000-04:00,31.4,['A']
2021-08-29T00:30:00.000-04:00,30.8,['A']
2021-08-29T00:45:00.000-04:00,31.4,['A']
2021-08-29T01:00:00.000-04:00,30.8,['A']
2021-08-29T01:15:00.000-04:00,30.8,['A']
2021-08-29T01:30:00.000-04:00,30.2,['A']
2021-08-29T01:45:00.000-04:00,30.2,['A']
2021-08-29T02:00:00.000-04:00,30.8,['A']
2021-08-29T02:15:00.000-04:00,29.6,['A']
2021-08-29T02:30:00.000-04:00,29.6,['A']
2021-08-29T02:45:00.000-04:00,30.2,['A']
2021-08-29T03:00:00.000-04:00,30.2,['A']
2021-08-29T03:15:00.000-04:00,29.0,['A']
2021-08-29T03:30:00.000-04:00,29.0,['A']
2021-08-29T03:45:00.000-04:00,29.0,['A']
2021-08-29T04:00:00.000-04:00,29.0,['A']
2021-08-29T04:15:00.000-04:00,28.4,['A']
2021-08-29T04:30:00.000-04:00,28.4,['A']
2021-08-29T04:45:00.000-04:00,28.4,['A']
2021-08-29T05:00:00.000-04:00,27.8,['A']
2021-08-29T05:15:00.000-04:00,27.2,['A']
2021-08-29T05:30:00.000-04:00,27.2,['A']
2021-08-29T05:45:00.000-04:00,26.6,['A']
2021-08-29T06:00:00.000-04:00,26.6,['A']
2021-08-29T06:15:00.000-04:00,26.1,['A']
2021-08-29T06:30:00.000-04:00,25.5,['A']
2021-08-29T06:45:00.000-04:00,26.1,['A']
2021-08-29T07:00:00.000-04:00,25.5,['A']
2021-08-29T07:15:00.000-04:00,25.5,['A']
2021-08-29T07:30:00.000-04:00,25.0,['A']
2021-08-29T07:45:00.000-04:00,25.0,['A']
2021-08-29T08:00:00.000-04:00,25.0,['A']
2021-08-29T08:15:00.000-04:00,24.4,['A']
2021-08-29T08:30:00.000-04:00,23.9,['A']
2021-08-29T08:45:00.000-04:00,23.9,['A']
2021-08-29T09:00:00.000-04:00,23.9,['A']
2021-08-29T09:15:00.000-04:00,23.4,['A']
2021-08-29T09:30:00.000-04:00,23.4,['A']
2021-08-29T09:45:00.000-04:00,22.9,['A']
2021-08-29T10:00:00.000-04:00,22.9,['A']
2021-08-29T10:15:00.000-04:00,22.3,['A']
2021-08-29T10:30:00.000-04:00,22.3,['A']
2021-08-29T10:45:00.000-04:00,22.3,['A']
2021-08-29T11:00:00.000-04:00,21.8,['A']
2021-08-29T11:15:00.000-04:00,21.8,['A']
2021-08-29T11:30:00.000-04:00,21.8,['A']
2021-08-29T11:45:00.000-04:00,21.4,['A']
2021-08-29T12:00:00.000-04:00,21.4,['A']
2021-08-29T12:15:00.000-04:00,20.9,['A']
2021-08-29T12:30:00.000-04:00,21.4,['A']
2021-08-29T12:45:00.000-04:00,20.9,['A']
2021-08-29T13:00:00.000-04:00,20.4,['A']
2021-08-29T13:15:00.000-04:00,20.9,['A']
2021-08-29T13:30:00.000-04:00,20.4,['A']
2021-08-29T13:45:00.000-04:00,20.9,['A']
2021-08-29T14:00:00.000-04:00,20.4,['A']
2021-08-29T14:15:00.000-04:00,20.4,['A']
2021-08-29T14:30:00.000-04:00,20.9,['A']
2021-08-29T14:45:00.000-04:00,20.4,['A']
2021-08-29T15:00:00.000-04:00,20.4,['A']
2021-08-29T15:15:00.000-04:00,19.9,['A']
2021-08-29T15:30:00.000-04:00,19.9,['A']
2021-08-29T15:45:00.000-04:00,19.9,['A']
2021-08-29T16:00:00.000-04:00,19.9,['A']
2021-08-29T16:15:00.000-04:00,19.9,['A']
2021-08-29T16:30:00.000-04:00,19.5,['A']
2021-08-29T16:45:00.000-04:00,19.5,['A']
2021-08-29T17:00:00.000-04:00,19.5,['A']
2021-08-29T17:15:00.000-04:00,19.0,['A']
2021-08-29T17:30:00.000-04:00,19.0,['A']
2021-08-29T17:45:00.000-04:00,19.0,['A']
2021-08-29T18:00:00.000-04:00,19.0,['A']
2021-08-29T18:15:00.000-04:00,19.0,['A']
2021-08-29T18:30:00.000-04:00,19.0,['A']
2021-08-29T18:45:00.000-04:00,18.6,['A']
2021-08-29T19:00:00.000-04:00,18.6,['A']
2021-08-29T19:15:00.000-04:00,18.6,['A']
2021-08-29T19:30:00.000-04:00,18.1,['A']
2021-08-29T19:45:00.000-04:00,18.1,['A']
2021-08-29T20:00:00.000-04:00,18.6,['A']
2021-08-29T20:15:00.000-04:00,18.6,['A']
2021-08-29T20:30:00.000-04:00,18.1,['A']
2021-08-29T20:45:00.000-04:00,18.1,['A']
2021-08-29T21:00:00.000-04:00,18.1,['A']
2021-08-29T21:15:00.000-04:00,18.1,['A']
2021-08-29T21:30:00.000-04:00,17.7,['A']
2021-08-29T21:45:00.000-04:00,17.7,['A']
2021-08-29T22:00:00.000-04:00,18.1,['A']
2021-08-29T22:15:00.000-04:00,17.7,['A']
2021-08-29T22:30:00.000-04:00,17.7,['A']
2021-08-29T22:45:00.000-04:00,17.7,['A']
2021-08-29T23:00:00.000-04:00,16.8,['A']
2021-08-29T23:15:00.000-04:00,17.3,['A']
2021-08-29T23:30:00.000-04:00,17.3,['A']
2021-08-29T23:45:00.000-04:00,17.3,['A']
2021-08-30T00:00:00.000-04:00,17.3,['A']
2021-08-30T00:15:00.000-04:00,17.3,['A']
2021-08-30T00:30:00.000-04:00,17.3,['A']
2021-08-30T00:45:00.000-04:00,17.3,['A']
2021-08-30T01:00:00.000-04:00,17.3,['A']
2021-08-30T01:15:00.000-04:00,16.8,['A']
2021-08-30T01:30:00.000-04:00,16.8,['A']
2021-08-30T01:45:00.000-04:00,16.8,['A']
2021-08-30T02:00:00.000-04:00,16.8,['A']
2021-08-30T02:15:00.000-04:00,16.8,['A']
2021-08-30T02:30:00.000-04:00,16.4,['A']
2021-08-30T02:45:00.000-04:00,16.8,['A']
2021-08-30T03:00:00.000-04:00,16.8,['A']
2021-08-30T03:15:00.000-04:00,16.4,['A']
2021-08-30T03:30:00.000-04:00,16.4,['A']
2021-08-30T03:45:00.000-04:00,16.4,['A']
2021-08-30T04:00:00.000-04:00,16.8,['A']
2021-08-30T04:15:00.000-04:00,16.4,['A']
2021-08-30T04:30:00.000-04:00,16.4,['A']
2021-08-30T04:45:00.000-04:00,16.4,['A']
2021-08-30T05:00:00.000-04:00,16.4,['A']
2021-08-30T05:15:00.000-04:00,16.4,['A']
2021-08-30T05:30:00.000-04:00,16.4,['A']
2021-08-30T05:45:00.000-04:00,16.0,['A']
